M1B,66108
M1C,35626
M1E,46943
M1G,29690
M1H,24383
M1J,36699
M1K,48434
M1L,35081
M1M,22913
M1N,22136
M1P,45571
M1R,29858
M1S,37769
M1T,34588
M1V,54680
M1W,48471
M1X,15097
M2H,24497
M2J,58293
M2K,23852
M2L,11717
M2M,32320
M2N,75897
M2P,7843
M2R,40792
M3A,34615
M3B,13324
M3C,39153
M3H,37011
M3J,25473
M3K,5997
M3L,17339
M3M,24046
M3N,41958
M4A,14443
M4B,18628
M4C,46866
M4E,25044
M4G,19076
M4H,19688
M4J,35738
M4K,31583
M4L,32640
M4M,24689
M4N,15330
M4P,20039
M4R,11394
M4S,26506
M4T,10463
M4V,18241
M4W,14561
M4X,20822
M4Y,30472
M5A,41078
M5B,12785
M5C,2951
M5E,9118
M5G,8423
M5H,2005
M5J,14545
M5K,0
M5L,0
M5M,25975
M5N,16610
M5P,19423
M5R,26496
M5S,15372
M5T,17748
M5V,49195
M5W,15
M5X,10
M6A,21048
M6B,28522
M6C,24596
M6E,38041
M6G,32086
M6H,44950
M6J,32684
M6K,40957
M6L,20616
M6M,42434
M6N,41243
M6P,40035
M6R,19857
M6S,34299
M7A,10
M7Y,10
M8V,37975
M8W,20674
M8X,10787
M8Y,21299
M8Z,17038
M9A,35594
M9B,32400
M9C,38291
M9L,11950
M9M,22263
M9N,25074
M9P,20874
M9R,33743
M9V,55959
M9W,40684
